Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Aditya Birla Sun Life Mutual Fund
145488;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW;Direct Plan;Monthly IDCW;INF209KB1ZL4;;1001.1898;06-Sep-2026
145489;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW;Direct Plan;Weekly IDCW;;INF209KB1ZJ8;1000.2602;06-Sep-2026
145482;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option;Regular Plan;Weekly IDCW;;INF209KB1ZE9;1000.2592;06-Sep-2026
145487;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW;Direct Plan;Daily IDCW;;INF209KB1ZI0;1000.0200;06-Sep-2026
145483;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW;Regular Plan;Daily IDCW;;INF209KB1ZD1;1000.0200;06-Sep-2026
145485;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option;Regular Plan;Monthly IDCW;INF209KB1ZG4;;1001.1623;06-Sep-2026
145486;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH;Direct Plan;GROWTH;INF209KB1ZH2;;1489.2835;06-Sep-2026
145481;ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH;Regular Plan;GROWTH;INF209KB1ZC3;;1475.9904;06-Sep-2026

Bajaj Finserv Mutual Fund
153437;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan;Direct Plan;Unclaimed less than 3 years IDCW Plan;INF0QA701AE3;;1073.8793;06-Sep-2026
153438;Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan;Direct Plan;Unclaimed less than 3 years Redemption Plan;INF0QA701AF0;;1079.8882;06-Sep-2026
151843;Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW;Direct Plan;Daily - IDCW;;INF0QA701185;1033.1412;06-Sep-2026
151850;Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW;Direct Plan;Fortnightly - IDCW	;INF0QA701235;INF0QA701201;1034.9496;06-Sep-2026
151849;Bajaj Finserv Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF0QA701177;;1208.3425;06-Sep-2026
151845;Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW;Direct Plan;Monthly - IDCW;INF0QA701243;INF0QA701219;1035.9506;06-Sep-2026
151844;Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW;Direct Plan;Weekly - IDCW;INF0QA701227;INF0QA701193;1033.9431;06-Sep-2026
151852;Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW;Regular Plan;Daily - IDCW;;INF0QA701292;1032.8859;06-Sep-2026
151847;Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW;Regular Plan;Fortnightly - IDCW;INF0QA701318;INF0QA701276;1034.6773;06-Sep-2026
151851;Bajaj Finserv Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF0QA701250;;1206.4261;06-Sep-2026
151848;Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW;Regular Plan;Monthly - IDCW;INF0QA701326;INF0QA701284;1035.6765;06-Sep-2026
151846;Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW;Regular Plan;Weekly - IDCW;INF0QA701300;INF0QA701268;1033.6672;06-Sep-2026

Bandhan Mutual Fund
146190;BANDHAN Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;INF194KB1462;INF194KB1470;1000.0098;06-Sep-2026
146191;BANDHAN Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF194KB1447;;1468.5924;06-Sep-2026
146183;BANDHAN Overnight Fund - Direct Plan - Monthly IDCW;Direct Plan;Monthly IDCW;INF194KB1496;INF194KB1504;1001.1782;06-Sep-2026
146184;BANDHAN Overnight Fund - Direct Plan - Periodic IDCW;Direct Plan;Periodic IDCW;INF194KB1520;INF194KB1538;1338.3155;06-Sep-2026
146192;BANDHAN Overnight Fund - Direct Plan - Weekly IDCW;Direct Plan;Weekly IDCW;INF194KB1553;INF194KB1561;1000.2548;06-Sep-2026
146188;BANDHAN Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;INF194KB1330;INF194KB1348;1000.0098;06-Sep-2026
146187;BANDHAN Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF194KB1314;;1456.6032;06-Sep-2026
146185;BANDHAN Overnight Fund - Regular Plan - Monthly IDCW;Regular Plan;Monthly IDCW;INF194KB1363;INF194KB1371;1001.1642;06-Sep-2026
146189;BANDHAN Overnight Fund - Regular Plan - Weekly IDCW;Regular Plan;Weekly IDCW;INF194KB1421;INF194KB1439;1001.1669;06-Sep-2026
146186;BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW;Regular Plan;Periodic IDCW;INF194KB1397;INF194KB1405;1332.8164;06-Sep-2026

Bank of India Mutual Fund
147951;BANK OF INDIA Overnight Fund Direct Plan Growth;Direct Plan;Growth;INF761K01EU7;;1400.9709;06-Sep-2026
147952;BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW;Direct Plan;Daily IDCW;;INF761K01EV5;1000.0044;06-Sep-2026
147948;BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW;Direct Plan;Monthly IDCW;INF761K01EY9;INF761K01EX1;1001.3158;06-Sep-2026
147950;BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW;Direct Plan;Weekly IDCW;;INF761K01EW3;1000.7605;06-Sep-2026
147936;BANK OF INDIA Overnight Fund Regular Plan Growth;Regular Plan;Growth;INF761K01EZ6;;1396.8286;06-Sep-2026
147953;BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW;Regular Plan;Daily IDCW;;INF761K01FA6;1000.0045;06-Sep-2026
147949;BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW;Regular Plan;Monthly IDCW;INF761K01FD0;INF761K01FC2;1001.4642;06-Sep-2026
149412;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years;;;;;1000.0000;06-Sep-2026
149414;BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years;;;;;1317.1626;06-Sep-2026
149415;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years;;;;;1000.0000;06-Sep-2026
149413;BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years;;;;;1317.3984;06-Sep-2026

Baroda BNP Paribas Mutual Fund
147197;Baroda BNP Paribas Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW Option;;INF955L01HW2;1000.0028;06-Sep-2026
147196;Baroda BNP Paribas Overnight Fund - Direct Plan - Growth;Direct Plan;Growth Option;INF955L01HV4;;1446.4909;06-Sep-2026
147195;Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW;Direct Plan;Weekly IDCW Option;;INF955L01HX0;1000.7306;06-Sep-2026
149988;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Greater than 3 years;;IDCW Greater than 3 years;;;1000.0000;06-Sep-2026
149991;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Up to 3 years;;IDCW Up to 3 Yrs;;;1297.8309;06-Sep-2026
149990;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Greater than 3 years;;Redemption Greater than 3 years;;;1000.0000;06-Sep-2026
149989;Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Up to 3 years;;Redemption Up to 3 Yrs;;;1297.8006;06-Sep-2026
147194;Baroda BNP Paribas Overnight Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW Option;;INF955L01HT8;1000.0018;06-Sep-2026
147193;Baroda BNP Paribas Overnight Fund - Regular Plan - Growth;Regular Plan;Growth Option;INF955L01HS0;;1439.5403;06-Sep-2026
147198;Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW;Regular Plan;Weekly IDCW Option;;INF955L01HU6;1001.2112;06-Sep-2026

DSP Mutual Fund
146062;DSP Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF740KA1MC8;;1474.9930;06-Sep-2026
146065;DSP Overnight Fund - Direct Plan - IDCW - Daily;Direct Plan;Daily IDCW;;INF740KA1OR2;1000.0099;06-Sep-2026
146061;DSP Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF740KA1MB0;;1466.0368;06-Sep-2026
146066;DSP Overnight Fund - Regular Plan - IDCW - Daily;Regular Plan;Daily IDCW;;INF740KA1OU6;1000.0099;06-Sep-2026
146063;DSP Overnight Fund - Regular Plan - IDCW - Weekly;Regular Plan;Weekly IDCW;INF740KA1OV4;INF740KA1OW2;1001.6990;06-Sep-2026
149313;Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund);;;;;10.0000;06-Sep-2026
149312;Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund);;;;;13.1389;06-Sep-2026
149311;Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund);;;;;10.0000;06-Sep-2026
149310;Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund);;;;;13.1389;06-Sep-2026

Edelweiss Mutual Fund
147551;Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option;Direct Plan;Annual IDCW;INF754K01KD5;INF754K01KC7;1354.489;06-Sep-2026
147557;Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option;Direct Plan;Daily IDCW;;INF754K01JW7;1000.2474;06-Sep-2026
147550;Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option;Direct Plan;Fortnightly IDCW;INF754K01JZ0;INF754K01JY3;1368.5785;06-Sep-2026
147570;Edelweiss Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF754K01JV9;;1424.431;06-Sep-2026
147554;Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option;Direct Plan;Monthly IDCW;INF754K01KB9;INF754K01KA1;1059.1767;06-Sep-2026
147558;Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option;Direct Plan;Weekly IDCW;;INF754K01JX5;1379.1859;06-Sep-2026
147556;Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option;Regular Plan;Annual IDCW;INF754K01KM6;INF754K01KL8;1348.5019;06-Sep-2026
147552;Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option;Regular Plan;Daily IDCW;;INF754K01KF0;1008.3763;06-Sep-2026
147549;Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option;Regular Plan;Fortnightly IDCW;INF754K01KI4;INF754K01KH6;1096.4171;06-Sep-2026
147569;Edelweiss Overnight Fund - Regular Plan - Growth;Regular Plan;Growth;INF754K01KE3;;1418.8973;06-Sep-2026
147555;Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option;Regular Plan;Monthly IDCW;INF754K01KK0;INF754K01KJ2;1005.9861;06-Sep-2026
147553;Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option;Regular Plan;Weekly IDCW;;INF754K01KG8;1017.1739;06-Sep-2026
149476;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years;;;;;1000;06-Sep-2026
149477;Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years;;;;;1303.2768;06-Sep-2026
149479;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years;;;;;1000;06-Sep-2026
149478;Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years;;;;;1303.2751;06-Sep-2026

Franklin Templeton Mutual Fund
147215;Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW;Regular Plan;Daily IDCW;;INF090I01SM2;1000.0001;06-Sep-2026
147212;Franklin India Overnight Fund - Direct Daily Dividend Plan - Daily - IDCW;Direct Plan;Daily IDCW;;INF090I01ST7;1000.0007;06-Sep-2026
147211;Franklin India Overnight Fund - Direct Weekly Dividend Plan - Weekly - IDCW;Direct Plan;Weekly IDCW;INF090I01SR1;INF090I01SQ3;1000.0026;06-Sep-2026
147216;Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW;Regular Plan;Weekly IDCW;INF090I01SN0;INF090I01SP5;1000.0066;06-Sep-2026
147213;Franklin India Overnight fund- Growth;Regular Plan;Growth;INF090I01SO8;;1431.5765;06-Sep-2026
147214;Franklin India Overnight Fund- Growth - Direct;Direct Plan;Growth;INF090I01SS9;;1436.6829;06-Sep-2026
149445;Franklin India Overnight Fund- Unclaimed IDCW Investor Education Plan;Regular Plan;Unclaimed IDCW Investor Education;;;10.0000;06-Sep-2026
149443;Franklin India Overnight Fund- Unclaimed IDCW Plan;Regular Plan;Unclaimed IDCW;;;13.0395;06-Sep-2026
149444;Franklin India Overnight Fund- Unclaimed Redemption Investor EducationPlan;Regular Plan;Unclaimed Redemption Investor Education;;;10.0000;06-Sep-2026
149446;Franklin India Overnight Fund- Unclaimed Redemption Plan;Regular Plan;Unclaimed Redemption;;;13.0395;06-Sep-2026

HDFC Mutual Fund
119109;HDFC Overnight Fund - Daily IDCW Option - Direct Plan;Direct Plan;IDCW Option;;INF179KB1HY1;1042.66;06-Sep-2026
101996;HDFC Overnight Fund - Growth Option;Regular Plan;Growth Option;INF179KB1HS3;;4038.0396;06-Sep-2026
119110;HDFC Overnight Fund - Growth Option - Direct Plan;Direct Plan;Growth Option;INF179KB1HT1;;4081.6279;06-Sep-2026
101997;HDFC Overnight Fund - IDCW Option (Daily);Regular Plan;IDCW Option (Daily);;INF179KB1IF8;1042.66;06-Sep-2026

ICICI Prudential Mutual Fund
145547;ICICI Prudential Overnight Fund - Daily IDCW;Regular Plan;Daily IDCW;;INF109KC18E1;1000.005;06-Sep-2026
145537;ICICI Prudential Overnight Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF109KC12G9;1000.005;06-Sep-2026
145536;ICICI Prudential Overnight Fund - Direct Plan - Growth;Direct Plan;Growth;INF109KC11G1;;1483.8642;06-Sep-2026
149411;ICICI Prudential Overnight fund - Direct Plan - Unclaimed IDCW Stable Scheme;Direct Plan;Unclaimed IDCW Stable Scheme;INF109KC18H4;;1000;06-Sep-2026
149408;ICICI Prudential Overnight fund - Direct Plan - Unclaimed IDCW Transitory Scheme;Direct Plan;Unclaimed IDCW Transitory Scheme;INF109KC16H8;;1309.24;06-Sep-2026
149409;ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Stable Scheme;Direct Plan;Unclaimed Redemption Stable Scheme;INF109KC17H6;;1000;06-Sep-2026
149410;ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Transitory Scheme;Direct Plan;Unclaimed Redemption Transitory Scheme;INF109KC15H0;;1309.2523;06-Sep-2026
145539;ICICI Prudential Overnight Fund - Direct Plan - Weekly IDCW;Direct Plan;Weekly IDCW;INF109KC16G0;INF109KC15G2;1000.7669;06-Sep-2026
145535;ICICI Prudential Overnight Fund - Growth;Regular Plan;Growth;INF109KC17E3;;1474.364;06-Sep-2026
145538;ICICI Prudential Overnight Fund - Weekly IDCW;Regular Plan;Weekly IDCW;INF109KC12F1;INF109KC11F3;1000.7561;06-Sep-2026

ITI Mutual Fund
147708;ITI Overnight Fund - Direct Plan - Daily IDCW Option;Direct Plan;Daily IDCW Option;;INF00XX01572;1001.0010;06-Sep-2026
147713;ITI Overnight Fund - Direct Plan - Growth Option;Direct Plan;Growth Option;INF00XX01564;;1392.0883;06-Sep-2026
